layer0_smarts,layer1_smarts,layer2_smarts,layer3_smarts,layer4_smarts
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](-[F,O,N+0H0,NH2,NH,N+,C,S,CH3,CH2,n+0,s,N+0,o,CH,CH0,c,Cl]):[#6]([#1]):[#6](!=!@[CH,CH0]):[#6](-[Cl]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[s,o,c,F,N+0H0,C,Cl,S,O,NH2,NH,N+,N+0,CH,CH0,n+0,CH3,CH2]):[#6]([#1]):[#6](!=!:[c]):[#6](!=!@[S]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[s,S,c,O,N+0H0,NH2,NH,N+,C,Cl,n+0,N+0,o,CH,CH0,F,CH3,CH2]):[#6]([#1]):[#6](-[F]):[#6](!=@[O]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!:[c,Cl,S,NH2,NH,N+,N+0H0,N+0,O,n+0,CH3,CH2,s,o,CH,CH0,F,C]):[#6]([#1]):[#6](:[s]):[#6](!=!:[n+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](-[Cl,c,F,O,N+0H0,NH2,NH,N+,C,CH,CH0,S,CH3,CH2,n+0,s,N+0,o]):[#6]([#1]):[#6](!=!@[CH,CH0]):[#6](!=!:[n+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](-[Cl,S,F,O,NH2,NH,N+,C,CH,CH0,CH3,CH2,n+0,s,N+0,o,c,N+0H0]):[#6]([#1]):[#6](!=!:[c]):[#6](!=!:[n+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[o,c,F,N+0H0,C,S,Cl,O,NH2,NH,N+,N+0,CH,CH0,n+0,CH3,CH2,s]):[#6]([#1]):[#6](!=!@[S]):[#6](!=@[N+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[S,O,N+0H0,NH2,NH,N+,C,CH3,CH2,n+0,s,Cl,N+0,o,c,CH,CH0,F]):[#6]([#1]):[#6](!=!@[S]):[#6](!=!@[S]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[S,F,O,N+0H0,NH2,NH,N+,C,CH,CH0,CH3,CH2,n+0,s,N+0,o,c,Cl]):[#6]([#1]):[#6](!=!:[c]):[#6](!=@[O]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!:[c,n+0,CH3,CH2,O,s,o,F,N+0H0,C,Cl,S,NH2,NH,N+,N+0,CH,CH0]):[#6]([#1]):[#6](!=!:[c]):[#6](!=!@[NH2,NH,N+]):1"
